証券コード,会社名,基準日,本文
1938,日本リーテック株式会社,2026-03-31,"３ 【配当政策】

当社は、株主の皆様への利益還元を経営の重要課題と位置付けており、安定的な配当の継続と機動的な自己株式の取得を通じて、株主の皆様への利益還元の拡充と資本効率の向上を目指しております。株主還元については、短期的な業績に左右されない安定的、かつ累進的な配当を実現すべく、DOE3.2％を目安として決定していくことを基本方針としております。

当社は、期末配当の年１回の剰余金の配当を行うことを基本方針としており、この剰余金の配当の決定機関は、株主総会であります。

当事業年度の剰余金の配当につきましては、当期の業績や財政状態、今後の事業展開等を総合的に勘案し、当社普通株式１株につき普通配当82円を2026年６月25日開催予定の定時株主総会で決議して実施する予定であります。














決議年月日



配当金の総額
(千円)



１株当たり配当額
(円)







2026年６月25日

定時株主総会決議（予定）



2,032,005



82.00





 


 

株主還元指標の水準変更及び中間配当制度導入について

当事業年度において、中期経営計画2027の目標値としておりましたROE８％を２年前倒しで達成することができました。これによりROEの目標値を８％から９％に引上げることとし、それに伴い、DOEの目安についても3.2％を3.6％へ変更することといたしました。

また、当社は、株主の皆様への利益還元の機会を充実させることを目的に、2027年３月期より中間配当制度を導入することとしており、2026年６月25日開催予定の定時株主総会決議により、会社法第454条第５項の規定に基づき、取締役会決議により毎年９月30日を基準日として中間配当をすることができる旨を定款に定める予定であります。

なお、2027年３月の配当金につきましては、１株あたり15円増配し普通配当97円（うち中間配当47円）を予定しております。"
1939,株式会社四電工,2026-03-31,"３ 【配当政策】

 

当社は、配当については『中期経営指針2025』で掲げる「連結配当性向40％以上」を前提に、業績や配当性向、ＲＯＥ目標等を総合的に勘案することとしている。また、各事業年度における配当の回数については、会社法第454条第５項に規定する中間配当を行うことができる旨を定款に定めており、取締役会決議による中間配当と、株主総会決議による期末配当の年２回を基本としている。

以上を踏まえ、当期の期末配当については、１株当たり45円を2026年６月26日開催予定の定時株主総会で決議して実施する予定である。当社は、2024年10月１日付で普通株式１株につき３株の割合で株式分割を実施しており、先に支払い済みの中間配当金32円を合わせた当期の年間配当金は、77円となり、前期の年間配当金相当額65円(株式分割後換算)に比べ12円の増配となる予定である。

また、当社は、2026年１月に『中期経営指針2030』を策定・公表し、その中で連結ＲＯＥ目標及び資本構成の適正化を加味して新たな株主還元方針(連結配当性向60％程度、ＤＯＥ5.0％程度を目安)を設定している。

 

当事業年度(第75期)の剰余金の配当は以下のとおりである。

 














決議年月日



配当金の総額(百万円)



１株当たり配当額(円)







2025年10月31日



取締役会決議



1,514



32







2026年６月26日



定時株主総会決議
(予定) 



2,130



45"
1941,株式会社中電工,2026-03-31,"３【配当政策】

当社は、持続的・安定的な配当を行うことを重視し、ＤＯＥ(連結株主資本配当率)3.0％を目処に配当を行う配当方針としている。

支払いについては、定款の定めに基づく取締役会決議による中間配当及び株主総会決議による期末配当の年２回を基本としている。

第110期の１株当たり年間配当金は、第109期から10円増配の130円（中間配当金65円、期末配当金65円）を予想していた。
この度、業績や経営環境等を勘案し、株主還元の更なる充実を図るため、第110期の１株当たり年間配当金を130円から５円増額の135円に変更する。

これにより、第110期の期末配当金は、年間配当金135円から中間配当金65円を除いた70円を予定している。

また、第111期の年間配当金については、上記配当方針及び業績予想に基づき、第110期から５円増額の140円（中間配当金70円、期末配当金70円）を予想している。

 

第110期の剰余金の配当は以下のとおりである。期末配当に関する配当金の総額3,705百万円及び１株当たり配当額 70円は、2026年６月24日開催予定の定時株主総会における決議事項である。

 













決議年月日



配当金の総額
(百万円)



１株当たり配当額
(円)







2025年10月31日

取締役会決議



3,520



65







2026年６月24日

定時株主総会決議(予定)



3,705



70"
1942,株式会社関電工,2026-03-31,"３【配当政策】

当社は、中間配当・期末配当の年２回の実施と安定配当の継続を基本としつつ、配当性向40％程度を目標に、株主の皆様への利益還元に努めている。

これらの剰余金の配当の決定機関は、中間配当については取締役会、期末配当については定時株主総会である。

当事業年度の配当金については、中間配当金を１株につき45円とした。また、期末配当金は１株につき79円とする予定である。この結果、中間配当金を含む当事業年度の１株当たり年間配当金は124円となる。

また、次期の配当金については、１株当たり年間配当金が130円（中間配当金65円、期末配当金65円）となる予定である。

なお、当社は会社法第454条第５項に規定する中間配当をすることができる旨を定款に定めている。

当事業年度の剰余金の配当は、以下のとおりである。

決議年月日

配当金の総額（百万円）

１株当たり配当額（円）

2025年10月31日

取締役会決議

9,198

45.0

2026年６月26日

定時株主総会決議

（予定）

15,722

79.0"
1944,株式会社きんでん,2026-03-31,"３【配当政策】

  当社は、長期的な視点に立ち、競争力の源泉である人的資源を軸とした事業基盤拡充を積極的に行い、さらなる持続的成長・発展を遂げていくことこそが、全てのステークホルダーの長期的な利益に資するものと考えている。そのなかで、株主各位への利益配分は今後も経営の重要課題の一つと位置付け、安定的かつ継続的な配当を基本方針とし、業績及び財務の状況を踏まえて実施していく。また、利益配分の機会の充実を図るために中間配当制度を実施し、記念すべき節目や期ごとには記念配当を行うなど、株主重視の経営を目指している。１株当たりの年間配当の額は、業績予想をもとに算出した年間配当の額の半額を中間配当としてお支払いし、期末時点で確定した業績等により算出した年間配当の額から中間配当を差し引いたものを期末配当とすることとしている。

  これらの配当の決定機関は、期末配当については株主総会、中間配当については取締役会である。

  上記基本方針及び当社の資本政策に基づき、当連結会計年度の期末配当金については、１株当たり65円としていたが、当連結会計年度の業績等を踏まえ、さらに５円増配し、１株当たり70円を予定している。

  この結果、当連結会計年度の年間配当金は、中間配当金60円を加えて、１株当たり130円となる。

  また、内部留保資金については、経営体質の強化と総合設備工事会社としての今後の積極的な事業展開等に備える所存である。

  なお、当社は「取締役会の決議をもって株主または登録株式質権者に対し、中間配当金として剰余金の配当をおこなうことができる」旨を定款に定めている。

  当事業年度の剰余金の配当は次のとおりである。

決議年月日

配当金の総額（百万円）

１株当たりの配当額（円）

2025年10月28日

取締役会決議

11,907

60.0

2026年６月24日

定時株主総会決議（予定）

13,859

70.0"
1945,株式会社東京エネシス,2026-03-31,"３【配当政策】

  当社は、中長期的な視点に立ち、安定した配当の継続を基本に、業績、内部留保の状況及び今後の事業展開への備え等を総合勘案したうえで、利益成長に応じた累進的配当の実施を目指すこととしております。内部留保については、経営基盤の強化や今後の事業拡大のための設備投資及び事業投資等の諸施策の展開に活用していく所存であります。

  当社の剰余金の配当は、中間配当と期末配当の年２回を基本的な方針としており、これら配当の決定機関は、中間配当については取締役会、期末配当については株主総会であります。

  当事業年度の剰余金の配当は、上記方針及び株主さまへの利益還元を重視する観点から、期末配当金を１株当たり35円とすることを2026年６月26日開催予定の第79期定時株主総会で決議する予定です。年間配当金は中間配当金28円と合わせた１株当たり63円となる予定です。

  なお、当社は、「取締役会の決議によって毎年９月30日を基準日として中間配当をすることができる」旨を定款に定めております。

 

  (注)  基準日が当事業年度に属する剰余金の配当は、次のとおりであります。

決議年月日

配当金の総額(百万円)

１株当たりの配当額(円)

2025年11月５日

取締役会決議

933

28.00

2026年６月26日

定時株主総会決議(予定)

1,159

35.00"
1946,株式会社トーエネック,2026-03-31,"３【配当政策】

当社は、持続的な成長と中長期的な企業価値向上を実現するため、成長戦略への投資のための内部留保と株主還元をバランスよく実施することを経営の重要課題と位置付け、資本収益性の向上や財務健全性の確保、フリー・キャッシュ・フローの状況などを総合的に勘案し、連結配当性向40％を目安として業績に応じた利益還元を行うことを基本としている。また、中間配当と期末配当の年2回の剰余金の配当を行うことを基本方針としており、これらの剰余金の配当の決定機関は、期末配当については株主総会、中間配当については取締役会である。なお、当社は「取締役会の決議によって、毎年9月30日を基準日として中間配当をすることができる。」旨を定款に定めている。

当事業年度（第108期）の配当については、上記方針に基づき、１株当たり年間76円となる予定である。

当事業年度の剰余金の配当は次のとおりである。なお、期末配当に関する配当金の総額4,455百万円及び１株当たり配当額48円については、2026年6月25日開催予定の定時株主総会の決議事項となっている。

決議年月日

配当金の総額（百万円）

１株当たり配当額（円）

2025年10月28日

取締役会決議

2,599

28

2026年 6月25日

定時株主総会決議

（予定)

4,455

48"
1948,株式会社弘電社,2026-03-31,"３ 【配当政策】

当社は、株主の皆様に対する利益還元を重要な経営方針として位置付け、財務体質の強化と将来の事業展開に備えるための内部留保の充実、また、今後の業績の動向等を総合的に判断し、安定的な配当に努めることを基本方針としております。

当社は定款で、剰余金の配当を中間配当及び期末配当並びに基準日を定めて配当できると定めております。これらの剰余金の配当は、株主総会の決議によらず取締役会の決議により定めることとしております。

当事業年度の配当については、上記の方針に基づき、１株当たり100円の普通配当としております。

内部留保金については、将来の事業展開に備えるため、技術力の強化及び技術者の育成並びに社内インフラの充実を図り、業績向上に努める所存であります。

(注) 基準日が当事業年度に属する剰余金の配当は、以下のとおりであります。

 













決議年月日



配当金の総額

(百万円)



１株当たり配当額

(円)







2025年10月31日

取締役会決議



393



45







2026年５月13日

取締役会決議



480



55"
194A,株式会社ＷＯＬＶＥＳ　ＨＡＮＤ,2025-06-30,"３【配当政策】

当社は、株主への利益還元を経営上の重要課題として認識しております。しかしながら、当社グループは現在、成長過程にあることから、内部留保の充実を図り、将来の事業展開及び経営体質の強化のための投資等に充当し、より一層の事業拡大を目指すことが、株主に対する最大の利益還元につながると考えており、創業以来配当を行っておりません。

将来的には、事業基盤の整備状況や投資計画、業績や財政状態等を総合的に勘案しながら、継続的かつ安定的な配当を行うことを検討していく方針であります。内部留保資金については、事業の拡充や組織体制の整備への投資のための資金として、有効に活用していく方針であります。

剰余金の配当を行う場合は、年１回の期末配当を基本方針と考えておりますが、毎年12月31日を基準日として中間配当を行うことができる旨を定款に定めております。なお、当社は会社法第459条第１項に基づき、取締役会の決議をもって剰余金の配当を行うことができる旨を定款に定めております。"
1950,日本電設工業株式会社,2026-03-31,"３ 【配当政策】

当社は、企業価値の持続的成長を図るとともに、株主の皆様に対する利益還元を重要課題の一つと認識している。

利益の配分については、株主の皆様へ成長の成果に準拠した安定的な配当を継続して行うことを基本としつつ、将来へ向けての成長投資や経営基盤の強化を総合的に勘案しながら、配当額を決定する方針とし、配当性向は40％を目安としている。

剰余金の配当は年１回とし、その決定機関を株主総会としており、当期の配当金については、１株当たり124円とする予定である。

また、次期の配当金については、配当方針及び業績予想を踏まえ、１株当たり３円増配し127円とする予定である。

内部留保資金については、事業により創出したキャッシュとあわせて株主還元、成長投資、経営基盤強化に活用していくこととし、成長投資や経営基盤の強化については、人材の確保、育成・教育、技術開発、ＤＸの推進、軌陸車等の工事用機材の配備、事業所整備、Ｍ＆Ａ、新規事業、施工体制強化等に充て、更なる企業価値向上に取り組む所存である。

なお、当期に係る剰余金の配当は以下のとおりである。

 













決議年月日



配当金の総額
(百万円)



１株当たり配当額
(円)







2026年６月26日

定時株主総会決議（予定）



7,429



124





 


(注)  2026年６月26日定時株主総会決議による配当金の総額には、株式給付信託（J-ESOP）に係る信託E口が所有する当社株式に対する配当金185百万円が含まれている。"
1951,エクシオグループ株式会社,2026-03-31,"３【配当政策】

当社は、株主の皆様への利益還元を経営の重要課題の一つと位置づけており、剰余金の配当については、自己資本配当率（ＤＯＥ）4.0％を目途として、安定した配当を継続的に実施することを基本方針としております。
また、剰余金の配当は中間配当と期末配当の年２回とし、剰余金の配当の決定機関は、期末配当については株主総会、中間配当については取締役会であります。

当社は、「取締役会の決議によって、毎年９月30日を基準日として中間配当をすることができる。」旨を定款に定めております。

上記の方針に基づき、当事業年度の配当につきましては、中間配当は１株当たり33円を実施し、期末配当は１株当たり35円を、2026年６月25日開催予定の定時株主総会で決議して実施する予定であります。

次期の配当につきましては配当水準を引き上げ、ＤＯＥ 4.5％を目途に配当を実施することとし、年間配当は１株当たり80円を予定しております。その内訳は、中間配当が１株当たり40円、期末配当が１株当たり40円であります。

当事業年度に係る剰余金の配当は以下のとおりであります。

決議年月日

配当金の総額

（百万円）

１株当たり

配当額（円）

2025年11月７日

6,781

33

取締役会決議

2026年６月25日

7,142

35

定時株主総会決議（予定）

なお、内部留保資金につきましては、人財育成やR&D、DX等の成長基盤構築のための投資資金、並びに事業拡大を目的としたM&A等に有効活用してまいります。"
1952,新日本空調株式会社,2026-03-31,"３ 【配当政策】

当社は、株主の皆様に対する利益の還元を重要な経営課題の一つと位置付けており、安定的に株主の皆様に還元するため、株主還元に関する基本方針として、株主資本配当率（DOE）の下限を５％としております。また、長期経営方針となる10年ビジョン「SNK Vision 2030」期間中の成長目標をお約束するため、2030年３月期までの期間を累進配当とすることといたしております。当事業年度の剰余金の配当については、当基本方針により、期末配当は１株当たり70円を2026年６月26日開催予定の定時株主総会にて決議する予定であります。これにより、当事業年度の年間配当金は、中間配当金40円と合わせ110円となり、株主資本配当率（DOE）は8.0％となる予定であります。

また、当社は会社法第454条第５項の規定により、取締役会の決議によって毎年９月30日を基準日として中間配当を行うことができる旨定款に定めており、毎事業年度における配当は、中間配当および期末配当の年２回行うこととしております。配当の決定機関は、中間配当は取締役会、期末配当は株主総会であります。

(注) 基準日が当事業年度に属する剰余金の配当は、以下のとおりであります。















決議年月日



配当金の総額(百万円)



１株当たり配当額(円)







2025年11月13日



取締役会決議



1,817



40







2026年６月26日



定時株主総会決議(予定)



3,181



70"
1959,株式会社クラフティア,2026-03-31,"３ 【配当政策】

利益配分については、業績向上に向けた経営基盤強化・更なる事業拡大に必要な内部留保を確保しつつ、資本コストを意識した適正な財務体質の維持と株主還元に努める。

配当については、中間配当及び期末配当の年２回を基本的な方針とし、配当の決定機関は、取締役会である。事業環境や業績、財務状況等を総合的に勘案し、連結配当性向40％を目安として、安定配当を行うことを目的に、維持又は増配を行う「累進配当」を実施することで、株主の皆さまの期待に応える。

この基本方針に基づき、当期の期末配当金については、今期の業績並びに株主還元の観点から、１株当たり110円から20円の増配を実施し、1株当たり130円の期末配当を実施する。これにより年間の配当金は、先に実施した中間配当金90円と合わせ、１株当たり220円となる。

第98期の剰余金の配当は以下のとおりである。













決議年月日



配当金の総額
(百万円)



１株当たり配当額
(円)







2025年10月31日

取締役会決議



6,377



90







2026年４月28日

取締役会決議



9,212



130"
195A,株式会社ＭＵＳＣＡＴ　ＧＲＯＵＰ,2026-03-31,"３ 【配当政策】

当社は、株主への利益還元を経営の重要施策の一つと認識しており、将来の事業展開と財務体質強化のため必要な内部留保を確保しつつ、継続的かつ安定的な配当を行うことを基本方針としておりますが、当社は成長過程にあり、事業拡大に向けた積極的な事業投資や財務体質の強化等を優先しているため、これまで配当を実施しておりません。

将来的には内部留保の充実状況や株主への利益還元とのバランス等を踏まえて配当実施の判断を検討していきたいと考えておりますが、現時点において配当実施可能性及びその実施時期等については未定であります。

内部留保資金が生じた場合につきましては、さらなる事業の拡大に向けた事業投資等の原資として有効に活用していく予定であります。当社では、剰余金の配当を行う場合、年１回の期末配当を基本としており、期末配当の決定機関は取締役会となっております。また、中間配当についても行うことができる旨を定款に定めております。"
1960,株式会社サンテック,2026-03-31,"３【配当政策】

当社は、安定した財務基盤の堅持、「より堅固な事業基盤の構築」に必要となる成長投資への必要資金を確保した上で、適切な株主還元を行うことを基本的な方針としております。

また、株主還元は、配当性向30％を目途としております。DOEにつきましては、2.0％以上を確保することを基本方針とし、財務状況や業績に応じて柔軟に対応することとしております。

期末配当として年１回剰余金の配当を行うことを基本的な方針としており、剰余金の配当の決定機関は株主総会であります。

当事業年度の剰余金の配当につきましては、期末配当金を１株につき65円を実施することを予定しております。

なお、基準日が当事業年度に係る剰余金の配当は以下のとおりであります。

決議年月日

配当金の総額（百万円）

１株当たり配当額（円）

2026年６月23日

998

65

定時株主総会決議（予定）"
1961,三機工業株式会社,2026-03-31,"３ 【配当政策】

当社では、株主に対する利益の還元を経営上重要な施策の一つとして位置づけております。

2025年度を初年度とする中期経営計画2027において、安定的かつ持続的な配分を維持することを目的として、配当については純資産配当率（DOE）５％以上、自己株式取得については中期経営計画2027期間中に400万株程度を実施していくことを基本方針としております。

当第102期（2026年３月期）の剰余金の配当につきましては、中間配当として１株につき普通配当82円50銭を実施しており、期末配当金は１株につき112円50銭（年間配当計195円）を実施することを2026年６月24日開催予定の定時株主総会にて決議する予定です。

また、当第102期（2026年３月期）は95万株の自己株式取得を実施しております。

 

今後も従来の高い配当還元は維持しつつ、中期経営計画2027に基づく新たな施策を実施し、超長期ビジョンで掲げた「選ばれ続ける三機へ！」の実現に向けて邁進してまいります。

 

当社の剰余金の配当は、中間配当と期末配当の年２回を基本的な方針としており、これらの剰余金の配当の決定機関は、中間配当は取締役会、期末配当は株主総会であります。

内部留保資金につきましては、競争力の強化をはかるとともに、更なる事業発展の基礎を構築するため、新事業と新技術の開発等に有効投資してまいります。

また、当社は会社法第454条第５項に規定する中間配当をすることができる旨を定款に定めております。

 

なお、基準日が当事業年度に属する剰余金の配当は、以下のとおりであります。













決議年月日



配当金の総額
(百万円)



１株当たり配当額
(円)







2025年11月14日

取締役会決議



4,268



82.50







2026年６月24日

定時株主総会決議予定



5,728



112.50





 


（注）当社は、2026年５月１日付で普通株式１株につき３株の割合で株式分割を行っておりますが、上記の自己株式取得実施目標数及び１株当たりの配当金については当該株式分割前の株式数を元に記載しております。"
1963,日揮ホールディングス株式会社,2026-03-31,"３ 【配当政策】

当社は、中長期的な企業価値向上に努めるとともに、株主の皆様への利益還元を経営の重要課題と位置付けております。

具体的な配当政策については、株主の皆様への利益還元を明確にするため、自己資本の維持及び成長のための投資を総合的に勘案のうえ、目標配当性向を定めて利益配分を行っており、期末配当として年１回の剰余金の配当を行うことを基本方針としております。この剰余金の配当の決定機関は株主総会であります。

当社は2025年３月期より、以下の株主還元方針に基づいた配当政策を実施しております。

・ 期末配当として年１回の剰余金の配当を行うこと、及び各期の業績に連動させる考え方に基づき、連結配当性向30％を目途とし、かつ１株当たり年間配当額40円を下限とする。

・ 自己株式取得は、業績見通し及びフリー・キャッシュ・フローの状況を勘案して適宜実施を検討する。

また、2026年度から５年間にわたる中期経営計画「BSP2030」においては、以下の株主還元方針に基づいた配当政策を実施してまいります。

・ 配当金は、短期的な業績変動によらず安定的な配当を行うことを目的として、DOE*（株主資本配当率）目標を設定するものとし、中期経営計画の進捗による成長に伴い継続的な増配を目指す観点からDOE目標は2027年３月期に３%から始め、2031年３月期に向けて４%を目指す。

・ 業績見通しおよびフリー・キャッシュ・フローの状況によって資本効率を勘案し、適宜、自己株式取得を検討する。

*DOE（株主資本配当率）：親会社株主に帰属する連結株主資本（その他の包括利益累計額および非支配株主持分を除く）に対する配当金総額の割合

 

 

（注）基準日が当事業年度に属する剰余金の配当は、以下のとおりです。期末配当に関する配当金の総額12,576百万円及び１株当たり配当額52.00円については、2026年６月26日開催予定の定時株主総会の決議事項となっております。













決議年月日



配当金の総額（百万円）



１株当たり配当額（円）







2026年６月26日

定時株主総会決議（予定）



12,576



52.00"
1964,中外炉工業株式会社,2026-03-31,"３ 【配当政策】

当社は株主の皆様への利益還元を経営の最重要課題の一つとして位置づけ、業績を考慮しつつ、安定した配当を継続していくことを基本方針としております。そのうえで、自己株式の取得も含めた総還元性向50％以上、配当性向は税引後営業利益（NOPAT）の60％を目指すことも掲げております。

また、配当の回数に関しましては、期末配当のみの年１回としており、その決定機関は株主総会であります。

当期の期末配当につきましては、上記の方針に基づき、自己株式を取得するとともに１株当たり166円とする議案を本年６月開催の定時株主総会に付議する予定です。

内部留保資金につきましては、今後の競争激化に対応するため、研究開発活動等に充当して業績の向上に努めてまいりたいと存じます。

当期の剰余金の配当は次のとおりであります。














決議



配当金の総額（百万円）



１株当たり配当額（円）







2026年６月18日



定時株主総会（予定）



1,201



166





 


 

なお、中期経営計画に則った総還元性向の向上のため、2026年５月に取締役会決議に基づく自己株式の取得を実施いたしております。取得した株式の総数は255,600株、取得価額の総額は1,139百万円であります。"
1965,株式会社テクノ菱和,2026-03-31,"３ 【配当政策】

当期の配当につきましては、期末配当を１株につき120円とさせていただく予定であります。これにより中間配当を加えました年間配当金は１株につき170円となります。

当社は、株主の皆様に対する利益還元を経営の最重要課題の一つと認識し、経営基盤の充実を図りつつ、期間収益及び配当性向を勘案し、安定して配当を維持することを基本方針としております。

この基本方針に則り、『TECHNO RYOWA 2032』（2024年度～2032年度）の期間中においては１株当たりの年間配当金について前年度の年間配当金を下回らないこととし、利益の成長に応じて増額する方針としております。

次期の配当につきましては、１株につき６円増額の年間176円(中間配当88円、期末配当88円)とさせていただく予定にしております。

内部留保資金につきましては、長期的な観点から人材、研究開発、ＤＸの推進及び設備等への投資に活用し、企業競争力の強化と企業価値の増大のために使用する方針としております。

また、当社は中間配当を行うことができる旨を定款に定めております。

 

(注) 基準日が当事業年度に属する剰余金の配当は、以下のとおりであります。













決議年月日



配当金の総額
(百万円)



１株当たり配当額
(円)







2025年11月７日

取締役会決議



1,034



50.00







2026年６月25日

定時株主総会決議（予定）



2,481



120.00"
1966,株式会社　高田工業所,2026-03-31,"３【配当政策】

当社の利益配分の基本方針は、収益に応じて、株主の皆様へ安定的な利益配分を継続することを最重要施策としつつ、将来に向けての企業体質の強化や研究開発及び設備投資等に資するための内部留保を充実させることを基本としております。

当期の期末配当につきましては、当期の業績及び今後の事業展開並びに財務状況等を総合的に勘案し、前期と同じく１株当たり70円の配当を実施させていただく予定であります。

なお、当社定款は、期末配当と中間配当の年２回の剰余金の配当を行うことができる旨を定めております。

剰余金の配当の決定機関は、期末配当については株主総会、中間配当については取締役会です。

当事業年度に係る剰余金の配当は以下のとおりです。

 

決議年月日

株式の種類

配当金の総額（千円）

１株当たりの配当額（円）

令和８年６月24日

定時株主総会決議

普通株式

512,711

70"
1967,株式会社ヤマト,2026-03-20,"３ 【配当政策】

当社は、中長期にわたり企業価値を継続的に向上させ、株主に対する利益還元を充実させることを経営の最重要課題と認識しています。

当社は、翌事業年度（2026年度）以降の配当につきましては、健全な財務体質の維持と成長投資のための内部留保とのバランスを図りながら、安定性と業績連動性を併せた株主還元を実施することを基本方針としています。また、2026年度を初年度とする中期経営計画においては、連結配当性向45％、ＤＯＥ（純資産配当率）4.0％を目標としています。

なお、当事業年度の配当につきましては、従前の基本方針に基づき決定しています。

当社の剰余金の配当は、期末配当の年１回を基本的な方針としています。剰余金の配当の決定機関は、期末配当については株主総会、中間配当については取締役会です。

このような基本方針に基づき、当事業年度の配当金については、60円の期末配当を、2026年６月16日開催予定の定時株主総会で決議して実施する予定です。

また、翌事業年度の配当金については、１株につき77円の配当を予定しています。

なお、当社は、会社法第454条第５項に規定する中間配当を行うことができる旨を定款に定めています。当事業年度の剰余金の配当は次のとおりです。

 













決議年月日



配当金の総額
(千円)



１株当たり配当額
(円)







2026年６月16日

定時株主総会決議（予定）



1,343,177



60"
1968,太平電業株式会社,2026-03-31,"３ 【配当政策】

当社は、経営基盤の強化ならびに堅固な財務体質の構築を目指すとともに、株主の皆様に対する利益還元を経営の重要施策として位置づけております。剰余金の配当に関しましては、長期的な視野に立ち、安定的かつ継続的な配当を行っていくことを基本方針とし、各決算期の業績や純資産配当率、配当性向、経営環境等を総合的に判断し決定いたします。

内部留保につきましては、将来の営業範囲の拡大・事業展開に向けた研究開発および建設用機械設備等、企業の成長に必要な資金需要に備えつつ、余剰資金につきましては、各種リスクと収益のバランスを勘案し効率的な運用を検討しながら、株主価値向上に努めてまいります。

また、期末配当金として年１回の剰余金の配当を行うことを基本方針としております。なお、剰余金の配当の決定機関は、取締役会であります。

当事業年度（第86期）の期末配当金につきましては、2026年２月６日開催の取締役会において、長期安定的な利益還元を基本とする剰余金の配当方針に則り、今期の業績や経営環境などを総合的に勘案した結果、前事業年度と比較し１株当たり11円67銭増配し、70円(株式分割前210円)、配当金総額4,435百万円と決定いたしました。"
1969,高砂熱学工業株式会社,2026-03-31,"３【配当政策】

当社の株主還元の方針は、配当を基本とし、配当性向40％を目途に持続的な利益成長に応じて増配を行う累進配当といたしました。自己株式の取得は、中長期的に株主価値を高める観点から、「健全性」と「資本効率」を踏まえつつ、市場環境や資本水準、事業投資機会等を総合的に勘案し、機動的に実施することとしております。

当社の剰余金の配当は、中間配当および期末配当の年２回を基本的な方針としております。配当の決定機関は、中間配当は取締役会、期末配当は株主総会であります。

当連結会計年度における当社の期末配当金につきましては、普通株式１株につき72円を予定しております。中間配当金として、86円（株式分割換算後では43円）をお支払いしておりますため、2025年10月1日付の株式分割を考慮した後の１株当たり年間配当金は115円となります。

また、次年度における当社の配当金は、普通株式１株につき年間123円(中間配当61円、期末配当62円)を予定しております。

 

（注） 基準日が当事業年度に属する剰余金の配当は、以下のとおりであります。

決議年月日

配当金の総額

（百万円）

１株当たり配当額

（円）

2025年11月14日

5,734

86.00

取締役会決議

2026年６月25日

9,602

72.00

定時株主総会決議（予定）"
196A,株式会社ＭＦＳ,2025-06-30,"３ 【配当政策】


(1) 配当の基本的な方針

当社は、株主の皆様に対する利益還元を経営の最重要課題の一つと位置付けており、将来の事業展開のための内部留保を確保しつつ、安定的に配当を行うことを基本方針としております。

 


(2) 毎事業年度における配当の回数についての基本的な方針

剰余金の配当を行う場合には、中間配当及び期末配当による年２回の配当を行う方針です。

 


(3) 配当の決定機関

当社グループは剰余金の配当等会社法第４５９条第１項各号に定める事項については、法令に別段の定めのある場合を除き、取締役会の決議によって定めることができるとしております。

 


(4) 内部留保資金の使途

内部留保資金については、モゲチェック事業、INVASE事業における人材採用及び広告宣伝費等の当社グループとして必要な成長投資に利用することにより、企業価値の向上に努める方針です。

 


(5) 中間配当について

当社は、会社法第454条第５項に規定する中間配当ができる旨を定款に定めております。

 


(6) 当期の配当決定に当たっての考え方

当連結会計年度において、連結業績は黒字転換したものの、今後の事業成長及び企業価値のさらなる向上に向けて経営資源の選択と集中を図る必要があると判断し、無配とさせていただくことといたしました。"
1972,三晃金属工業株式会社,2026-03-31,"３ 【配当政策】

当社は、業績に応じた利益の配分を基本としつつ、企業価値向上に向けた投資等に必要な資金所要、先行きの業績見通し、財務体質等を勘案しつつ、利益剰余金の配当を実施する方針であります。

「業績に応じた利益配分」の指標としては、配当性向50％を目安といたします。

当社は、中間配当と期末配当の年２回の剰余金の配当を行うことを基本方針としており、これらの剰余金の配当の決定機関は、中間配当については取締役会、期末配当については株主総会であります。なお、当社は、会社法第454条第５項の規定により、取締役会の決議によって毎年９月30日を基準日として中間配当を行うことができる旨を定款で定めております。

なお、当社は、2025年10月1日付けで普通株式１株当たり５株の株式分割を行っております。株式分割を行わなかったと仮定した場合の１株当たりの年間配当金は345.0円となります。

今後は経営の効率化をなお一層推進するとともに更なる経営基盤の拡充と収益力の向上を図り、株主の皆様のご期待に沿うべく努力する所存であります。

(注) 基準日が当事業年度に属する剰余金の配当は、以下のとおりであります。













決議年月日



配当金の総額
(百万円)



１株当たり配当額
(円)







2025年10月31日

取締役会



655



170.0







2026年６月26日

定時株主総会予定



674



35.0





 


当社は2025年10月１日付けで普通株式１株当たり５株の株式分割を行いました。"
